iter	RMSE
0	76031.16508
1	74673.42704
2	73293.60618
3	72066.97185
4	70805.03565
5	69701.93727
6	68555.11181
7	67412.0018
8	66291.85542
9	65295.18479
10	64289.20408
11	63264.09626
12	62273.40501
13	61338.95741
14	60430.06029
15	59570.74751
16	58742.27329
17	57891.98841
18	57041.68825
19	56346.18716
20	55661.10265
21	54907.00548
22	54200.63482
23	53526.6526
24	52858.08017
25	52263.84247
26	51676.42562
27	51025.32219
28	50449.33404
29	49895.52795
30	49321.45706
31	48797.73143
32	48254.15087
33	47770.86127
34	47330.51072
35	46848.80787
36	46385.22907
37	45964.93607
38	45558.18287
39	45139.66361
40	44743.63339
41	44339.95592
42	43974.92193
43	43641.64591
44	43275.67711
45	42928.8942
46	42647.01676
47	42335.21743
48	42056.19175
49	41773.11384
50	41509.01402
51	41183.83687
52	40899.86546
53	40643.57385
54	40393.79554
55	40157.07877
56	39944.34353
57	39677.21291
58	39448.65033
59	39224.08009
60	39041.1953
61	38853.91862
62	38662.29457
63	38467.94197
64	38299.28582
65	38126.85192
66	37965.7818
67	37817.32334
68	37647.56556
69	37473.76975
70	37291.36643
71	37162.51754
72	37017.15177
73	36852.03262
74	36729.20339
75	36595.63184
76	36461.73986
77	36327.97275
78	36194.57732
79	36078.61699
80	35978.61892
81	35869.18394
82	35852.81646
83	35745.00011
84	35617.31784
85	35521.34796
86	35391.90949
87	35303.81026
88	35198.34608
89	35080.12878
90	34958.30176
91	34838.37453
92	34760.07017
93	34659.26882
94	34558.57248
95	34459.87139
96	34362.79253
97	34280.51907
98	34204.48405
99	34113.29736
100	34093.32126
101	34007.17861
102	33945.26375
103	33879.71697
104	33804.23537
105	33741.1337
106	33663.46677
107	33588.88179
108	33504.46113
109	33441.96108
110	33399.82204
111	33334.20272
112	33319.63338
113	33299.80378
114	33240.21238
115	33226.87917
116	33165.64153
117	33107.58752
118	33064.67378
119	33046.15704
120	32980.98095
121	32916.92265
122	32843.74608
123	32787.67152
124	32724.47672
125	32664.77789
126	32610.44308
127	32561.7378
128	32502.69084
129	32454.02021
130	32407.16506
131	32353.32443
132	32307.98572
133	32256.80572
134	32208.50882
135	32189.18575
136	32154.79831
137	32109.2528
138	32069.61411
139	32036.77819
140	31986.3708
141	31975.64589
142	31930.69953
143	31895.22799
144	31864.62399
145	31830.82259
146	31800.44265
147	31758.82037
148	31708.38019
149	31667.5686
150	31615.54305
151	31569.34506
152	31538.61593
153	31495.39754
154	31460.53533
155	31439.89469
156	31413.99772
157	31378.9774
158	31362.15649
159	31328.88464
160	31294.24528
161	31264.18328
162	31233.78669
163	31195.31697
164	31167.24811
165	31146.99468
166	31105.72581
167	31071.36076
168	31050.4635
169	31017.90559
170	30982.31964
171	30946.74865
172	30909.08229
173	30875.68064
174	30831.01626
175	30804.3063
176	30764.5602
177	30738.44222
178	30711.03073
179	30689.75656
180	30654.44507
181	30628.0192
182	30611.77228
183	30580.07775
184	30546.04936
185	30536.12036
186	30515.6509
187	30501.31996
188	30480.52273
189	30447.6435
190	30431.3971
191	30406.64558
192	30371.31536
193	30343.13609
194	30322.41479
195	30303.63409
196	30286.74176
197	30262.32584
198	30246.04105
199	30216.80153
200	30175.14216
201	30131.49399
202	30099.73102
203	30072.99458
204	30045.8787
205	30022.88948
206	30000.41646
207	29980.12873
208	29968.65657
209	29946.36071
210	29942.68083
211	29923.32927
212	29894.5215
213	29875.3695
214	29852.10521
215	29816.37817
216	29789.65335
217	29773.03242
218	29741.50593
219	29727.31797
220	29709.84154
221	29692.9145
222	29682.5542
223	29655.3251
224	29646.23143
225	29617.6177
226	29595.15663
227	29580.35846
228	29562.0256
229	29534.39065
230	29514.80118
231	29495.31957
232	29479.3059
233	29466.78756
234	29448.61573
235	29436.9151
236	29419.4904
237	29402.35418
238	29374.51422
239	29367.96873
240	29344.24405
241	29322.22312
242	29301.09685
243	29295.92055
244	29272.04679
245	29250.53965
246	29233.44761
247	29199.16077
248	29189.46437
249	29162.55331
250	29153.3263
251	29124.31066
252	29112.91616
253	29085.88797
254	29068.85568
255	29055.74509
256	29023.50915
257	29005.43267
258	28986.43551
259	28979.99931
260	28949.51484
261	28930.86134
262	28916.58839
263	28898.22284
264	28883.36651
265	28864.8676
266	28835.03758
267	28827.46297
268	28811.69284
269	28792.79378
270	28772.10856
271	28763.19836
272	28742.61025
273	28730.47684
274	28707.28005
275	28688.24503
276	28668.21658
277	28643.79638
278	28621.47443
279	28596.61516
280	28569.67976
281	28545.53055
282	28527.50708
283	28500.76509
284	28487.96591
285	28450.3224
286	28424.34494
287	28416.37009
288	28396.24006
289	28383.21501
290	28362.18135
291	28346.96452
292	28320.90118
293	28313.82566
294	28295.88243
295	28285.51266
296	28276.85099
297	28251.22339
298	28240.98669
299	28230.98481
300	28217.47784
301	28191.32813
302	28175.92007
303	28169.97402
304	28144.21389
305	28126.48932
306	28103.16163
307	28078.81805
308	28047.77909
309	28025.12041
310	28007.65907
311	27983.75968
312	27977.9688
313	27971.28187
314	27952.91374
315	27940.54438
316	27922.94398
317	27904.1541
318	27893.19192
319	27879.21719
320	27859.4399
321	27844.93878
322	27828.33717
323	27813.004
324	27798.69501
325	27787.40091
326	27770.09647
327	27761.04303
328	27748.19844
329	27729.57138
330	27722.89181
331	27703.32744
332	27698.17906
333	27679.04148
334	27672.37957
335	27652.21255
336	27640.72619
337	27627.98318
338	27606.69761
339	27583.72067
340	27565.41466
341	27541.35987
342	27524.08389
343	27505.88313
344	27493.05958
345	27456.19983
346	27449.76129
347	27438.47092
348	27431.07142
349	27415.33512
350	27398.312
351	27393.36703
352	27386.72713
353	27367.51566
354	27355.80459
355	27343.56004
356	27326.9629
357	27317.01202
358	27314.25203
359	27309.66956
360	27300.29897
361	27284.27513
362	27258.05189
363	27251.15617
364	27241.01278
365	27225.47675
366	27202.61914
367	27194.33179
368	27190.77168
369	27177.75179
370	27159.84027
371	27127.06916
372	27105.71042
373	27083.4912
374	27072.89206
375	27061.42532
376	27050.25731
377	27036.374
378	27030.09959
379	27027.51902
380	27003.7993
381	26986.77021
382	26977.34616
383	26972.02891
384	26953.99418
385	26935.18313
386	26912.10746
387	26898.58654
388	26879.78557
389	26864.703
390	26849.98914
391	26838.85158
392	26825.97388
393	26811.37259
394	26790.04538
395	26780.14831
396	26777.10057
397	26758.77096
398	26736.03067
399	26724.86103
400	26706.45497
401	26686.6615
402	26665.0961
403	26646.40901
404	26629.79078
405	26615.07899
406	26601.22347
407	26592.2319
408	26582.60082
409	26576.35484
410	26571.6869
411	26558.23632
412	26550.54227
413	26547.43134
414	26528.88795
415	26510.1685
416	26506.53599
417	26492.66717
418	26486.12241
419	26477.73333
420	26459.78463
421	26440.5719
422	26436.50812
423	26432.38141
424	26422.34704
425	26397.15609
426	26395.00874
427	26392.79715
428	26386.67982
429	26377.94467
430	26362.25347
431	26347.23856
432	26335.65745
433	26321.66513
434	26319.57807
435	26299.60045
436	26296.11583
437	26287.63222
438	26275.83011
439	26260.69942
440	26252.49051
441	26237.87333
442	26221.32879
443	26210.34816
444	26192.22889
445	26180.70707
446	26158.71989
447	26156.25159
448	26153.88938
449	26143.58678
450	26127.47344
451	26125.52848
452	26111.50331
453	26104.70062
454	26102.11957
455	26096.49928
456	26075.26549
457	26066.71258
458	26046.80742
459	26027.70131
460	26025.28648
461	26015.78057
462	25996.1392
463	25976.52516
464	25968.02802
465	25942.11153
466	25920.97511
467	25901.6023
468	25886.90665
469	25884.98795
470	25865.08695
471	25856.4069
472	25842.98435
473	25825.42994
474	25814.42497
475	25799.84105
476	25767.47122
477	25744.66651
478	25715.96933
479	25713.60548
480	25705.48797
481	25692.523
482	25687.60107
483	25685.73787
484	25675.30386
485	25669.96834
486	25657.75912
487	25651.16991
488	25642.94097
489	25627.61008
490	25625.78784
491	25623.63394
492	25614.92042
493	25612.43284
494	25610.41609
495	25590.29579
496	25582.31578
497	25576.85225
498	25563.09652
499	25560.7408
500	25558.67337
501	25552.82529
502	25532.81863
503	25518.67788
504	25503.65953
505	25487.34442
506	25480.08186
507	25469.68577
508	25459.72361
509	25444.57112
510	25430.89303
511	25429.21671
512	25417.08608
513	25405.53093
514	25403.38408
515	25391.18296
516	25380.862
517	25366.56054
518	25345.73405
519	25333.74603
520	25331.91228
521	25329.81071
522	25322.20571
523	25301.88272
524	25286.15397
525	25284.22364
526	25268.69199
527	25256.44666
528	25240.48813
529	25225.31392
530	25217.6625
531	25194.98846
532	25182.16373
533	25164.9122
534	25151.53805
535	25142.78173
536	25133.85155
537	25112.24045
538	25101.38865
539	25091.77435
540	25070.77616
541	25058.36043
542	25045.71351
543	25029.20172
544	25022.78591
545	25020.85957
546	25003.09228
547	24986.00542
548	24966.58433
549	24957.07956
550	24952.0263
551	24938.99004
552	24924.7223
553	24893.66495
554	24890.87792
555	24871.30416
556	24858.75049
557	24848.12208
558	24840.18938
559	24828.42613
560	24825.73203
561	24808.97577
562	24799.87844
563	24797.75913
564	24765.49923
565	24754.58879
566	24739.92761
567	24730.57806
568	24725.98976
569	24714.80421
570	24705.62581
571	24702.83235
572	24687.21353
573	24672.48621
574	24670.82287
575	24661.10376
576	24646.12493
577	24639.89298
578	24638.52722
579	24617.08084
580	24602.5775
581	24591.19693
582	24572.21953
583	24560.75497
584	24546.0201
585	24528.90834
586	24511.61223
587	24502.8535
588	24486.03928
589	24466.05761
590	24452.4011
591	24433.11916
592	24426.12591
593	24396.85991
594	24376.85004
595	24375.54134
596	24353.57244
597	24326.87979
598	24319.75905
599	24314.85331
600	24304.6434
601	24297.48113
602	24275.60552
603	24262.36229
604	24261.13199
605	24253.29924
606	24244.93905
607	24232.06394
608	24224.41397
609	24219.65444
610	24218.49208
611	24210.74911
612	24190.94514
613	24170.62881
614	24162.2534
615	24159.10118
616	24147.85329
617	24141.58945
618	24133.53687
619	24129.30728
620	24121.89892
621	24111.19605
622	24096.42584
623	24092.35339
624	24081.8365
625	24062.51715
626	24048.03851
627	24038.62797
628	24023.11901
629	24018.02758
630	24011.02578
631	24009.38951
632	24004.17328
633	23998.76408
634	23975.81072
635	23970.67846
636	23950.30856
637	23930.73199
638	23918.48573
639	23911.34375
640	23909.51761
641	23889.59427
642	23869.37911
643	23852.82752
644	23837.5345
645	23829.25154
646	23823.72557
647	23822.67937
648	23814.43362
649	23800.56831
650	23784.95219
651	23768.73943
652	23762.22505
653	23748.8738
654	23745.9103
655	23738.63472
656	23730.66461
657	23728.30558
658	23724.25504
659	23709.29992
660	23703.36937
661	23696.85604
662	23689.93101
663	23685.46439
664	23675.26989
665	23650.72759
666	23646.82714
667	23633.78911
668	23629.19503
669	23625.61881
670	23621.04134
671	23616.29003
672	23614.80694
673	23610.39083
674	23602.10192
675	23595.98756
676	23594.21667
677	23590.1966
678	23570.98224
679	23564.75009
680	23562.18017
681	23552.44716
682	23544.7002
683	23536.66165
684	23529.43499
685	23527.44312
686	23526.44902
687	23525.02467
688	23511.66826
689	23495.32144
690	23491.69746
691	23480.21902
692	23469.2701
693	23461.89915
694	23455.00817
695	23440.02005
696	23419.63592
697	23414.28535
698	23407.97015
699	23405.5167
700	23401.40576
701	23392.37126
702	23389.31012
703	23381.27684
704	23368.56153
705	23365.81327
706	23351.92244
707	23344.4717
708	23326.6841
709	23320.61055
710	23318.47491
711	23310.66331
712	23308.12273
713	23288.74358
714	23276.49933
715	23258.13052
716	23252.07372
717	23239.90096
718	23234.13353
719	23226.48843
720	23220.63696
721	23209.43722
722	23188.85324
723	23186.49706
724	23178.89588
725	23173.49517
726	23159.52883
727	23157.73952
728	23150.25927
729	23143.72454
730	23141.44478
731	23140.10331
732	23129.42302
733	23125.77065
734	23109.51752
735	23083.44851
736	23066.36457
737	23063.52931
738	23053.00527
739	23038.21973
740	23013.52866
741	23006.85463
742	22993.08856
743	22982.67151
744	22976.56736
745	22964.31537
746	22960.1736
747	22954.04311
748	22943.46873
749	22931.68274
750	22926.48176
751	22923.0235
752	22914.50613
753	22906.54644
754	22895.59719
755	22889.12301
756	22887.8075
757	22881.92411
758	22875.70388
759	22862.37963
760	22853.35842
761	22852.15944
762	22847.88591
763	22840.60839
764	22839.47765
765	22831.78432
766	22821.77571
767	22815.25463
768	22811.43581
769	22805.15949
770	22792.84086
771	22788.80055
772	22778.98634
773	22773.14887
774	22768.02487
775	22754.77177
776	22745.34562
777	22730.32862
778	22715.66121
779	22701.65434
780	22698.81419
781	22694.77993
782	22684.93015
783	22677.71358
784	22664.30107
785	22658.26532
786	22641.84652
787	22638.26252
788	22631.40702
789	22622.18579
790	22620.98592
791	22610.8644
792	22606.21932
793	22599.24503
794	22595.27733
795	22583.01356
796	22580.77081
797	22568.53616
798	22562.435
799	22558.73284
800	22554.48672
801	22552.47495
802	22550.27685
803	22546.45202
804	22537.74402
805	22533.18743
806	22529.52408
807	22521.20396
808	22505.7635
809	22484.96985
810	22462.44547
811	22454.79686
812	22446.91594
813	22428.27206
814	22425.09308
815	22411.89879
816	22407.26493
817	22394.56361
818	22392.14979
819	22388.64615
820	22377.14205
821	22364.98346
822	22350.2132
823	22348.41361
824	22341.29745
825	22331.6601
826	22327.99703
827	22308.94837
828	22294.62994
829	22278.21344
830	22267.57752
831	22261.4498
832	22253.95164
833	22247.33891
834	22235.52422
835	22234.28201
836	22230.9193
837	22219.87051
838	22217.90148
839	22210.62153
840	22194.47886
841	22172.83293
842	22158.83931
843	22153.45887
844	22141.61708
845	22126.00693
846	22124.85499
847	22114.43325
848	22104.25289
849	22100.02286
850	22092.73092
851	22081.17043
852	22077.10006
853	22061.0078
854	22051.91206
855	22038.16021
856	22023.18677
857	22001.99785
858	21984.60316
859	21969.72128
860	21949.19546
861	21945.81305
862	21937.33605
863	21935.78789
864	21923.22697
865	21920.14531
866	21915.28799
867	21913.39931
868	21907.47126
869	21887.00917
870	21884.84978
871	21880.4813
872	21874.5725
873	21870.8827
874	21867.55526
875	21858.2183
876	21851.89559
877	21850.09101
878	21846.49492
879	21829.82372
880	21820.14379
881	21800.24655
882	21782.30344
883	21764.66509
884	21754.45632
885	21749.62655
886	21748.21242
887	21744.30441
888	21740.53411
889	21735.24815
890	21731.02689
891	21719.50426
892	21713.50204
893	21703.93551
894	21690.2857
895	21679.37766
896	21676.38726
897	21671.55082
898	21655.58831
899	21651.90454
900	21634.95444
901	21629.71152
902	21621.72383
903	21618.23289
904	21611.28386
905	21603.4085
906	21599.11008
907	21586.55865
908	21582.84733
909	21569.70175
910	21565.32895
911	21560.88792
912	21556.23334
913	21544.10192
914	21540.24337
915	21538.47097
916	21531.25479
917	21523.43305
918	21522.70828
919	21518.33001
920	21510.63866
921	21498.11748
922	21485.95378
923	21478.81406
924	21474.06986
925	21463.87351
926	21462.52382
927	21442.38898
928	21424.23997
929	21420.2524
930	21413.03652
931	21409.65771
932	21396.76431
933	21384.40495
934	21372.45315
935	21361.18207
936	21347.65059
937	21341.8029
938	21337.92048
939	21328.35736
940	21326.3418
941	21306.60412
942	21303.18345
943	21300.0954
944	21289.5228
945	21278.33671
946	21276.44939
947	21275.19739
948	21262.37448
949	21245.46806
950	21239.52846
951	21235.03
952	21227.60544
953	21223.52389
954	21217.30713
955	21213.9107
956	21212.15043
957	21197.3708
958	21184.01749
959	21182.06133
960	21169.95586
961	21165.60661
962	21148.33117
963	21138.11013
964	21117.76909
965	21113.72451
966	21105.23931
967	21092.21243
968	21083.92955
969	21081.52551
970	21075.42731
971	21055.45501
972	21039.83006
973	21036.60447
974	21035.29987
975	21025.48446
976	21018.66907
977	21008.12374
978	21006.57898
979	21000.49972
980	20996.2635
981	20991.95699
982	20985.08855
983	20975.64654
984	20968.08476
985	20957.64989
986	20938.63103
987	20927.72887
988	20924.5844
989	20910.65175
990	20898.68077
991	20886.80645
992	20869.01022
993	20864.76728
994	20863.65245
995	20851.62571
996	20845.43533
997	20833.179
998	20828.06006
999	20819.7881
