iter	Passed	Remaining
0	5	5872
1	11	5624
2	16	5647
3	23	5780
4	30	6066
5	37	6194
6	44	6381
7	51	6425
8	59	6515
9	66	6559
10	73	6636
11	81	6676
12	87	6671
13	94	6637
14	101	6667
15	109	6720
16	116	6735
17	124	6765
18	131	6805
19	139	6823
20	146	6837
21	154	6846
22	161	6871
23	171	6970
24	180	7035
25	188	7072
26	196	7087
27	205	7117
28	213	7138
29	221	7148
30	229	7165
31	236	7169
32	244	7169
33	252	7177
34	260	7196
35	269	7228
36	278	7238
37	286	7251
38	292	7219
39	299	7197
40	305	7155
41	311	7113
42	317	7077
43	324	7043
44	330	7015
45	336	6978
46	342	6948
47	349	6922
48	355	6894
49	361	6868
50	367	6847
51	374	6825
52	380	6802
53	386	6773
54	392	6752
55	399	6727
56	404	6696
57	411	6677
58	417	6663
59	424	6658
60	432	6651
61	439	6650
62	447	6663
63	456	6671
64	465	6691
65	472	6693
66	480	6697
67	488	6690
68	494	6678
69	500	6655
70	506	6629
71	512	6611
72	518	6588
73	524	6567
74	531	6549
75	537	6528
76	542	6507
77	548	6485
78	554	6466
79	561	6451
80	566	6432
81	573	6415
82	579	6399
83	584	6377
84	591	6364
85	597	6353
86	604	6339
87	610	6323
88	616	6306
89	623	6303
90	630	6296
91	637	6294
92	645	6294
93	653	6298
94	660	6296
95	668	6291
96	675	6289
97	683	6288
98	691	6291
99	697	6280
100	704	6274
101	710	6257
102	716	6240
103	723	6231
104	729	6216
105	735	6205
106	741	6190
107	748	6178
108	754	6169
109	760	6154
110	766	6141
111	772	6127
112	778	6112
113	781	6076
114	787	6061
115	793	6047
116	799	6037
117	806	6025
118	811	6010
119	817	5997
120	823	5984
121	830	5973
122	837	5971
123	844	5963
124	851	5960
125	858	5955
126	866	5956
127	873	5952
128	881	5951
129	889	5953
130	896	5949
131	902	5937
132	909	5926
133	915	5917
134	921	5904
135	928	5896
136	934	5887
137	940	5874
138	946	5863
139	952	5850
140	957	5835
141	963	5821
142	969	5811
143	976	5804
144	982	5795
145	989	5786
146	996	5779
147	1002	5768
148	1007	5756
149	1013	5744
150	1019	5732
151	1025	5721
152	1031	5709
153	1037	5700
154	1043	5689
155	1050	5684
156	1058	5682
157	1066	5684
158	1075	5686
159	1083	5688
160	1091	5689
161	1099	5685
162	1107	5686
163	1114	5683
164	1120	5672
165	1127	5663
166	1133	5652
167	1139	5643
168	1145	5630
169	1151	5619
170	1157	5609
171	1162	5597
172	1169	5588
173	1175	5579
174	1180	5566
175	1187	5561
176	1194	5551
177	1200	5543
178	1207	5538
179	1214	5533
180	1221	5527
181	1227	5516
182	1233	5507
183	1240	5500
184	1247	5493
185	1254	5491
186	1262	5488
187	1270	5488
188	1278	5487
189	1287	5490
190	1296	5489
191	1304	5489
192	1312	5486
193	1319	5482
194	1326	5474
195	1332	5466
196	1338	5456
197	1344	5446
198	1350	5435
199	1356	5424
200	1361	5413
201	1367	5403
202	1373	5394
203	1380	5386
204	1386	5378
205	1393	5369
206	1399	5361
207	1405	5350
208	1411	5341
209	1417	5330
210	1422	5320
211	1428	5310
212	1434	5301
213	1440	5291
214	1447	5285
215	1454	5279
216	1461	5273
217	1468	5268
218	1475	5261
219	1482	5255
220	1488	5248
221	1496	5242
222	1503	5237
223	1510	5232
224	1516	5223
225	1522	5213
226	1528	5204
227	1533	5193
228	1539	5183
229	1545	5173
230	1551	5163
231	1556	5153
232	1562	5144
233	1568	5134
234	1574	5124
235	1580	5115
236	1586	5106
237	1592	5097
238	1598	5089
239	1604	5081
240	1610	5072
241	1617	5065
242	1623	5056
243	1628	5047
244	1634	5038
245	1641	5030
246	1647	5023
247	1654	5016
248	1661	5010
249	1668	5005
250	1675	5000
251	1684	4999
252	1692	4996
253	1700	4993
254	1708	4991
255	1716	4987
256	1723	4982
257	1729	4972
258	1734	4962
259	1741	4955
260	1746	4945
261	1752	4935
262	1757	4925
263	1763	4915
264	1769	4907
265	1774	4897
266	1780	4889
267	1787	4880
268	1792	4872
269	1798	4863
270	1804	4854
271	1810	4844
272	1816	4836
273	1822	4827
274	1828	4819
275	1834	4811
276	1840	4803
277	1847	4798
278	1855	4794
279	1863	4790
280	1871	4787
281	1878	4784
282	1887	4781
283	1895	4778
284	1903	4775
285	1910	4769
286	1917	4762
287	1923	4754
288	1929	4746
289	1935	4738
290	1941	4730
291	1948	4723
292	1954	4716
293	1960	4707
294	1966	4699
295	1972	4690
296	1978	4682
297	1984	4674
298	1990	4667
299	1997	4660
300	2003	4652
301	2009	4643
302	2015	4635
303	2020	4626
304	2026	4617
305	2032	4609
306	2038	4601
307	2044	4594
308	2051	4587
309	2058	4581
310	2065	4576
311	2073	4572
312	2081	4568
313	2089	4563
314	2096	4560
315	2104	4556
316	2111	4549
317	2118	4542
318	2124	4535
319	2130	4527
320	2137	4520
321	2143	4512
322	2149	4505
323	2155	4497
324	2161	4490
325	2167	4482
326	2173	4474
327	2180	4466
328	2186	4459
329	2192	4451
330	2198	4444
331	2204	4435
332	2210	4427
333	2217	4421
334	2224	4414
335	2230	4407
336	2236	4400
337	2243	4393
338	2250	4387
339	2257	4381
340	2264	4376
341	2274	4376
342	2281	4370
343	2288	4364
344	2295	4357
345	2302	4351
346	2308	4344
347	2314	4336
348	2321	4329
349	2327	4321
350	2333	4313
351	2338	4305
352	2344	4297
353	2350	4289
354	2356	4281
355	2362	4273
356	2369	4267
357	2375	4259
358	2381	4252
359	2387	4244
360	2393	4237
361	2401	4232
362	2407	4224
